querySet,FP,FP2,filtime,vertime,total
4R,0.004493,0.999775,0.891120,0.339753,1.230872
8R,0.005670,0.999814,0.886607,0.424703,1.311310
16R,0.044934,0.999535,0.780524,0.689489,1.470013
32R,0.032192,0.999846,0.835623,1.995519,2.831140
64R,0.032500,0.999940,0.608191,4.951669,5.559866
4B,0.000000,1.000000,0.887420,0.208750,1.096170
8B,0.000000,1.000000,0.676684,0.412803,1.089487
16B,0.000294,0.999993,0.587649,0.608385,1.196034
32B,0.000769,0.999993,0.371674,1.007314,1.378988
64B,0.000000,1.000000,0.236316,1.405871,1.642187
